日付,列 1,旧約1,完了,旧約2,完了 ,詩,完了  ,新約,完了   ,,,曜日,,,,,,,,
1/1(Thu),#VALUE!,創 1-2,FALSE,-,FALSE,詩 19,FALSE,マル 1,FALSE,,,,,,,,,,,
1/2(Fri),#VALUE!,創 3-5,FALSE,-,FALSE,-,FALSE,マル 2,FALSE,,,,,,,,,,,
1/3(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
1/4(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
1/5(Mon),#VALUE!,創 6-8,FALSE,-,FALSE,詩 104,FALSE,マル 3,FALSE,,,,,,,,,,,
1/6(Tue),#VALUE!,創 9-11,FALSE,-,FALSE,-,FALSE,マル 4,FALSE,,,,,,,,,,,
1/7(Wed),#VALUE!,創 12-15,FALSE,-,FALSE,詩 148,FALSE,マル 5,FALSE,,,,,,,,,,,
1/8(Thu),#VALUE!,創 16-18,FALSE,-,FALSE,-,FALSE,マル 6,FALSE,,,,,,,,,,,
1/9(Fri),#VALUE!,創 19-20,FALSE,-,FALSE,詩 1,FALSE,マル 7,FALSE,,,,,,,,,,,
1/10(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
1/11(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
1/12(Mon),#VALUE!,創 21-23,FALSE,-,FALSE,詩 107,FALSE,マル 8,FALSE,,,,,,,,,,,
1/13(Tue),#VALUE!,創 24-25,FALSE,-,FALSE,詩 4,FALSE,マル 9,FALSE,,,,,,,,,,,
1/14(Wed),#VALUE!,創 26-27,FALSE,-,FALSE,-,FALSE,マル 10,FALSE,,,,,,,,,,,
1/15(Thu),#VALUE!,創 28-29,FALSE,-,FALSE,-,FALSE,マル 11,FALSE,,,,,,,,,,,
1/16(Fri),#VALUE!,創 30-31,FALSE,-,FALSE,詩 11,FALSE,マル 12,FALSE,,,,,,,,,,,
1/17(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
1/18(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
1/19(Mon),#VALUE!,創 32-34,FALSE,-,FALSE,詩 145,FALSE,マル 13,FALSE,,,,,,,,,,,
1/20(Tue),#VALUE!,創 35-37,FALSE,-,FALSE,詩 12,FALSE,マル 14,FALSE,,,,,,,,,,,
1/21(Wed),#VALUE!,創 38-40,FALSE,-,FALSE,-,FALSE,マル 15,FALSE,,,,,,,,,,,
1/22(Thu),#VALUE!,創 41-42,FALSE,-,FALSE,-,FALSE,マル 16,FALSE,,,,,,,,,,,
1/23(Fri),#VALUE!,創 43-44,FALSE,-,FALSE,詩 24,FALSE,ガラ 1,FALSE,,,,,,,,,,,
1/24(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
1/25(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
1/26(Mon),#VALUE!,創 45-46,FALSE,-,FALSE,詩 108,FALSE,ガラ 2,FALSE,,,,,,,,,,,
1/27(Tue),#VALUE!,創 47-48,FALSE,-,FALSE,詩 25,FALSE,ガラ 3,FALSE,,,,,,,,,,,
1/28(Wed),#VALUE!,創 49-50,FALSE,-,FALSE,-,FALSE,ガラ 4,FALSE,,,,,,,,,,,
1/29(Thu),#VALUE!,出 1-3,FALSE,-,FALSE,-,FALSE,ガラ 5,FALSE,,,,,,,,,,,
1/30(Fri),#VALUE!,出 4-6,FALSE,-,FALSE,-,FALSE,ガラ 6,FALSE,,,,,,,,,,,
1/31(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
2/1(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
2/2(Mon),#VALUE!,出 7-9,FALSE,-,FALSE,詩 105,FALSE,エペ 1,FALSE,,,,,,,,,,,
2/3(Tue),#VALUE!,出 10-12,FALSE,-,FALSE,-,FALSE,エペ 2,TRUE,,,,,,,,,,,
2/4(Wed),#VALUE!,出 13-15,FALSE,-,FALSE,詩 114,FALSE,エペ 3,FALSE,,,,,,,,,,,
2/5(Thu),#VALUE!,出 16-18,FALSE,-,FALSE,-,FALSE,エペ 4,FALSE,,,,,,,,,,,
2/6(Fri),#VALUE!,出 19-21,FALSE,-,FALSE,詩 33,FALSE,エペ 5,FALSE,,,,,,,,,,,
2/7(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
2/8(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
2/9(Mon),#VALUE!,出 22-24,FALSE,-,FALSE,詩 109,FALSE,エペ 6,FALSE,,,,,,,,,,,
2/10(Tue),#VALUE!,出 25-27,FALSE,-,FALSE,詩 90,FALSE,ピリ 1,FALSE,,,,,,,,,,,
2/11(Wed),#VALUE!,出 28-31,FALSE,-,FALSE,-,FALSE,ピリ 2,FALSE,,,,,,,,,,,
2/12(Thu),#VALUE!,出 32-34,FALSE,-,FALSE,-,FALSE,ピリ 3,FALSE,,,,,,,,,,,
2/13(Fri),#VALUE!,出 35-37,FALSE,-,FALSE,詩 26,FALSE,ピリ 4,FALSE,,,,,,,,,,,
2/14(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
2/15(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
2/16(Mon),#VALUE!,出 38-40,FALSE,-,FALSE,-,FALSE,ヘブ 1,FALSE,,,,,,,,,,,
2/17(Tue),#VALUE!,レ 1-3,FALSE,-,FALSE,詩 27,FALSE,ヘブ 2,FALSE,,,,,,,,,,,
